word_id,TRT,FixCount,Span_word_is_in,text_id
The_0,nan,0,,meco_para_11
International_0,nan,0,,meco_para_11
Union_0,nan,0,,meco_para_11
for_0,nan,0,,meco_para_11
Conservation_0,nan,0,,meco_para_11
of_0,nan,0,,meco_para_11
Nature_0,nan,0,,meco_para_11
is_0,nan,0,,meco_para_11
an__0,nan,0,meco_para_11_qa_0 ,meco_para_11
international_1,nan,0,meco_para_11_qa_0 ,meco_para_11
organization_0,nan,0,meco_para_11_qa_0 ,meco_para_11
working_0,nan,0,,meco_para_11
in_0,nan,0,,meco_para_11
the_1,nan,0,,meco_para_11
field_0,nan,0,,meco_para_11
of_1,nan,0,,meco_para_11
nature_1,nan,0,,meco_para_11
conservation_1,nan,0,,meco_para_11
and_0,nan,0,,meco_para_11
the_2,nan,0,,meco_para_11
sustainable_0,77.0,1,,meco_para_11
use_0,nan,0,,meco_para_11
of_2,nan,0,,meco_para_11
natural_0,nan,0,,meco_para_11
resources._0,nan,0,,meco_para_11
It_0,nan,0,,meco_para_11
is_1,nan,0,,meco_para_11
involved_0,75.0,1,,meco_para_11
in_1,nan,0,,meco_para_11
data_0,220.0,2,,meco_para_11
gathering_0,146.0,2,,meco_para_11
and_1,nan,0,,meco_para_11
"analysis,_0",151.0,1,,meco_para_11
"research,_0",155.0,2,,meco_para_11
field_1,nan,0,,meco_para_11
"projects,_0",nan,0,,meco_para_11
"advocacy,_0",nan,0,,meco_para_11
and_2,nan,0,,meco_para_11
education._0,nan,0,,meco_para_11
Its_0,nan,0,,meco_para_11
mission_0,85.0,1,,meco_para_11
is_2,380.0,3,,meco_para_11
to_0,78.0,1,,meco_para_11
"‘influence,_0",155.0,1,,meco_para_11
encourage_0,157.0,1,,meco_para_11
and_3,nan,0,,meco_para_11
assist_0,nan,0,,meco_para_11
societies_0,nan,0,,meco_para_11
throughout_0,nan,0,meco_para_11_qa_2 ,meco_para_11
the_3,nan,0,meco_para_11_qa_2 ,meco_para_11
world_0,75.0,1,meco_para_11_qa_2 ,meco_para_11
to_1,nan,0,meco_para_11_qa_2 ,meco_para_11
conserve_0,229.0,1,meco_para_11_qa_2 ,meco_para_11
nature_2,226.0,3,meco_para_11_qa_2 ,meco_para_11
and_4,313.0,4,meco_para_11_qa_2 ,meco_para_11
to_2,150.0,1,meco_para_11_qa_2 ,meco_para_11
ensure_0,78.0,1,meco_para_11_qa_2 ,meco_para_11
that_0,nan,0,meco_para_11_qa_2 ,meco_para_11
any_0,nan,0,meco_para_11_qa_2 ,meco_para_11
use_1,nan,0,meco_para_11_qa_2 ,meco_para_11
of_3,nan,0,meco_para_11_qa_2 ,meco_para_11
natural_1,nan,0,meco_para_11_qa_2 ,meco_para_11
resources_1,nan,0,meco_para_11_qa_2 ,meco_para_11
is_3,nan,0,meco_para_11_qa_2 ,meco_para_11
equitable_0,nan,0,meco_para_11_qa_2 ,meco_para_11
and_5,72.0,1,meco_para_11_qa_2 ,meco_para_11
ecologically_0,146.0,2,meco_para_11_qa_2 ,meco_para_11
sustainable’._0,74.0,1,meco_para_11_qa_2 ,meco_para_11
Over_0,151.0,1,meco_para_11_qa_2 ,meco_para_11
the_4,153.0,1,meco_para_11_qa_2 ,meco_para_11
past_0,nan,0,meco_para_11_qa_2 ,meco_para_11
"decades,_0",nan,0,meco_para_11_qa_2 ,meco_para_11
the_5,nan,0,meco_para_11_qa_2 ,meco_para_11
organization_1,nan,0,,meco_para_11
has_0,nan,0,,meco_para_11
widened_0,77.0,1,,meco_para_11
its_1,75.0,1,,meco_para_11
focus_0,200.0,2,,meco_para_11
beyond_0,247.0,3,,meco_para_11
conservation_2,nan,0,,meco_para_11
ecology_0,nan,0,,meco_para_11
and_6,nan,0,,meco_para_11
now_0,nan,0,,meco_para_11
incorporates_0,nan,0,,meco_para_11
issues_0,nan,0,,meco_para_11
related_0,nan,0,,meco_para_11
to_3,nan,0,,meco_para_11
sustainable_1,nan,0,,meco_para_11
development_0,983.0,4,,meco_para_11
in_2,nan,0,,meco_para_11
its_2,76.0,1,,meco_para_11
projects._1,79.0,1,,meco_para_11
Unlike_0,nan,0,,meco_para_11
many_0,nan,0,,meco_para_11
other_0,nan,0,,meco_para_11
international_2,nan,0,,meco_para_11
environmental_0,152.0,2,,meco_para_11
"organizations,_0",152.0,1,,meco_para_11
it_1,nan,0,,meco_para_11
does_0,159.0,1,,meco_para_11
not_0,nan,0,,meco_para_11
aim_0,nan,0,,meco_para_11
to_4,nan,0,,meco_para_11
mobilize_0,nan,0,,meco_para_11
the_6,nan,0,,meco_para_11
public_0,nan,0,,meco_para_11
in_3,nan,0,,meco_para_11
support_0,nan,0,,meco_para_11
of_4,nan,0,,meco_para_11
nature_3,nan,0,,meco_para_11
conservation._3,77.0,1,,meco_para_11
"Instead,_0",158.0,2,,meco_para_11
the_7,nan,0,,meco_para_11
organization_2,155.0,2,,meco_para_11
tries_0,nan,0,,meco_para_11
to_5,nan,0,,meco_para_11
influence_0,nan,0,,meco_para_11
the_8,nan,0,,meco_para_11
actions_0,nan,0,,meco_para_11
of_5,nan,0,,meco_para_11
"governments,_0",nan,0,,meco_para_11
business_0,nan,0,,meco_para_11
and_7,nan,0,,meco_para_11
other_1,nan,0,,meco_para_11
stakeholders_0,nan,0,,meco_para_11
by_0,nan,0,,meco_para_11
providing_0,nan,0,,meco_para_11
information_0,nan,0,,meco_para_11
and_8,nan,0,,meco_para_11
"advice,_0",nan,0,,meco_para_11
and_9,nan,0,,meco_para_11
through_0,nan,0,,meco_para_11
building_0,nan,0,,meco_para_11
partnerships._0,nan,0,,meco_para_11
The_9,nan,0,,meco_para_11
organization_3,73.0,2,,meco_para_11
is_4,nan,0,,meco_para_11
best_0,nan,0,,meco_para_11
known_0,nan,0,,meco_para_11
to_6,nan,0,,meco_para_11
the_10,nan,0,,meco_para_11
wider_0,nan,0,,meco_para_11
public_1,nan,0,,meco_para_11
for_1,nan,0,,meco_para_11
compiling_0,nan,0,meco_para_11_qa_3 ,meco_para_11
and_10,nan,0,meco_para_11_qa_3 ,meco_para_11
publishing_0,74.0,1,meco_para_11_qa_3 ,meco_para_11
the_11,74.0,1,meco_para_11_qa_3 ,meco_para_11
Red_0,nan,0,meco_para_11_qa_3 ,meco_para_11
List_0,69.0,1,meco_para_11_qa_3 ,meco_para_11
of_6,nan,0,meco_para_11_qa_3 ,meco_para_11
Threatened_0,nan,0,meco_para_11_qa_3 ,meco_para_11
"Species,_0",nan,0,meco_para_11_qa_3 ,meco_para_11
which_0,nan,0,meco_para_11_qa_1 ,meco_para_11
assesses_0,nan,0,meco_para_11_qa_1 ,meco_para_11
the_12,nan,0,meco_para_11_qa_1 ,meco_para_11
conservation_4,nan,0,meco_para_11_qa_1 ,meco_para_11
status_0,nan,0,meco_para_11_qa_1 ,meco_para_11
of_7,nan,0,meco_para_11_qa_1 ,meco_para_11
species_1,nan,0,meco_para_11_qa_1 ,meco_para_11
worldwide._0,145.0,1,meco_para_11_qa_1 ,meco_para_11
"Today,_0",nan,0,meco_para_11_qa_1 ,meco_para_11
the_13,nan,0,meco_para_11_qa_1 ,meco_para_11
organization_4,nan,0,meco_para_11_qa_1 ,meco_para_11
